gemeenteNaamId;gemeenteId;taalCodeGemeenteNaam;gemeenteNaam
1;1;nl;Aartselaar
2;2;nl;Antwerpen
3;2;fr;Anvers
4;2;de;Antwerpen
5;3;nl;Boechout
6;4;nl;Boom
7;5;nl;Borsbeek
8;6;nl;Brasschaat
9;7;nl;Brecht
10;8;nl;Edegem
11;9;nl;Essen
12;10;nl;Hemiksem
13;11;nl;Hove
14;12;nl;Kalmthout
15;13;nl;Kapellen
16;14;nl;Kontich
17;15;nl;Lint
18;16;nl;Mortsel
19;17;nl;Niel
20;18;nl;Ranst
21;19;nl;Rumst
22;20;nl;Schelle
23;21;nl;Schilde
24;22;nl;Schoten
25;23;nl;Stabroek
26;24;nl;Wijnegem
27;25;nl;Wommelgem
28;26;nl;Wuustwezel
29;27;nl;Zandhoven
30;28;nl;Zoersel
31;29;nl;Zwijndrecht
32;30;nl;Malle
33;31;nl;Berlaar
34;32;nl;Bonheiden
35;33;nl;Bornem
36;34;nl;Duffel
37;35;nl;Heist-op-den-Berg
38;36;de;Lier
39;36;fr;Lierre
40;36;nl;Lier
41;37;nl;Mechelen
42;37;fr;Malines
43;37;de;Mechelen
44;38;nl;Nijlen
45;39;nl;Putte
46;40;nl;Puurs
47;41;nl;Sint-Amands
48;42;nl;Sint-Katelijne-Waver
49;43;nl;Willebroek
50;44;nl;Arendonk
51;45;nl;Baarle-Hertog
52;45;fr;Baerle-Duc
53;45;de;Baarle-Hertog
54;46;nl;Balen
55;47;nl;Beerse
56;48;nl;Dessel
57;49;nl;Geel
58;50;nl;Grobbendonk
59;51;nl;Herentals
60;52;nl;Herenthout
61;53;nl;Herselt
62;54;nl;Hoogstraten
63;55;nl;Hulshout
64;56;nl;Kasterlee
65;57;nl;Lille
66;58;nl;Meerhout
67;59;nl;Merksplas
68;60;nl;Mol
69;61;nl;Olen
70;62;nl;Oud-Turnhout
71;63;nl;Ravels
72;64;nl;Retie
73;65;nl;Rijkevorsel
74;66;nl;Turnhout
75;67;nl;Vorselaar
76;68;nl;Vosselaar
77;69;nl;Westerlo
78;70;nl;Laakdal
79;71;fr;Anderlecht
80;71;nl;Anderlecht
81;72;nl;Oudergem
82;72;fr;Auderghem
83;73;nl;Sint-Agatha-Berchem
84;73;fr;Berchem-Sainte-Agathe
85;74;nl;Brussel
86;74;fr;Bruxelles
87;75;fr;Etterbeek
88;75;nl;Etterbeek
89;76;nl;Evere
90;76;fr;Evere
91;77;fr;Forest
92;77;nl;Vorst
93;78;fr;Ganshoren
94;78;nl;Ganshoren
95;79;nl;Elsene
96;79;fr;Ixelles
97;80;nl;Jette
98;80;fr;Jette
99;81;nl;Koekelberg
100;81;fr;Koekelberg
101;82;nl;Sint-Jans-Molenbeek
102;82;fr;Molenbeek-Saint-Jean
103;83;nl;Sint-Gillis
104;83;fr;Saint-Gilles
105;84;fr;Saint-Josse-ten-Noode
106;84;nl;Sint-Joost-ten-Node
107;85;fr;Schaerbeek
108;85;nl;Schaarbeek
109;86;nl;Ukkel
110;86;fr;Uccle
111;87;nl;Watermaal-Bosvoorde
112;87;fr;Watermael-Boitsfort
113;88;nl;Sint-Lambrechts-Woluwe
114;88;fr;Woluwe-Saint-Lambert
115;89;nl;Sint-Pieters-Woluwe
116;89;fr;Woluwe-Saint-Pierre
117;90;nl;Asse
118;91;nl;Beersel
119;92;nl;Bever
120;92;fr;Biévène
121;93;nl;Dilbeek
122;94;de;Galmaarden
123;94;nl;Galmaarden
124;94;fr;Gammerages
125;95;nl;Gooik
126;96;nl;Grimbergen
127;97;de;Halle
128;97;nl;Halle
129;97;fr;Hal
130;98;nl;Herne
131;99;nl;Hoeilaart
132;100;nl;Kampenhout
133;101;nl;Kapelle-op-den-Bos
134;102;nl;Liedekerke
135;103;nl;Londerzeel
136;104;nl;Machelen
137;105;nl;Meise
138;106;nl;Merchtem
139;107;nl;Opwijk
140;108;nl;Overijse
141;109;nl;Pepingen
142;110;nl;Sint-Pieters-Leeuw
143;111;nl;Steenokkerzeel
144;112;nl;Ternat
145;113;de;Vilvoorde
146;113;nl;Vilvoorde
147;113;fr;Vilvorde
148;114;nl;Zaventem
149;115;nl;Zemst
150;116;nl;Roosdaal
151;117;fr;Drogenbos
152;117;nl;Drogenbos
153;118;fr;Kraainem
154;118;nl;Kraainem
155;119;fr;Linkebeek
156;119;nl;Linkebeek
157;120;nl;Sint-Genesius-Rode
158;120;fr;Rhode-Saint-Genèse
159;121;nl;Wemmel
160;121;fr;Wemmel
161;122;nl;Wezembeek-Oppem
162;122;fr;Wezembeek-Oppem
163;123;nl;Lennik
164;124;nl;Affligem
165;125;nl;Aarschot
166;126;nl;Begijnendijk
167;127;nl;Bekkevoort
168;128;nl;Bertem
169;129;nl;Bierbeek
170;130;nl;Boortmeerbeek
171;131;nl;Boutersem
172;132;nl;Diest
173;133;nl;Geetbets
174;134;nl;Haacht
175;135;nl;Herent
176;136;nl;Hoegaarden
177;137;nl;Holsbeek
178;138;nl;Huldenberg
179;139;nl;Keerbergen
180;140;nl;Kortenaken
181;141;nl;Kortenberg
182;142;nl;Landen
183;143;de;Löwen
184;143;nl;Leuven
185;143;fr;Louvain
186;144;nl;Lubbeek
187;145;nl;Oud-Heverlee
188;146;nl;Rotselaar
189;147;nl;Tervuren
190;148;nl;Tienen
191;148;fr;Tirlemont
192;148;de;Tienen
193;149;nl;Tremelo
194;150;de;Zoutleeuw
195;150;nl;Zoutleeuw
196;150;fr;Léau
197;151;nl;Linter
198;152;fr;Montaigu-Zichem
199;152;de;Scherpenheuvel-Zichem
200;152;nl;Scherpenheuvel-Zichem
201;153;nl;Tielt-Winge
202;154;nl;Glabbeek
203;155;nl;Bevekom
204;155;fr;Beauvechain
205;156;nl;Eigenbrakel
206;156;fr;Braine-l'Alleud
207;157;nl;Kasteelbrakel
208;157;fr;Braine-le-Château
209;158;fr;Chaumont-Gistoux
210;159;fr;Court-Saint-Etienne
211;160;nl;Genepiën
212;160;fr;Genappe
213;161;fr;Grez-Doiceau
214;161;nl;Graven
215;162;fr;Incourt
216;163;nl;Itter
217;163;fr;Ittre
218;164;fr;Jodoigne
219;164;nl;Geldenaken
220;165;fr;La Hulpe
221;165;nl;Terhulpen
222;166;fr;Mont-Saint-Guibert
223;167;fr;Nivelles
224;167;nl;Nijvel
225;168;fr;Perwez
226;168;nl;Perwijs
227;169;fr;Rixensart
228;170;fr;Tubize
229;170;nl;Tubeke
230;171;fr;Villers-la-Ville
231;172;fr;Waterloo
232;173;fr;Wavre
233;173;nl;Waver
234;174;fr;Chastre
235;175;fr;Hélécine
236;176;fr;Lasne
237;177;fr;Orp-Jauche
238;178;fr;Ottignies-Louvain-la-Neuve
239;179;fr;Ramillies
240;180;fr;Rebecq
241;181;fr;Walhain
242;182;nl;Beernem
243;183;nl;Blankenberge
244;184;fr;Bruges
245;184;de;Brügge
246;184;nl;Brugge
247;185;nl;Damme
248;186;nl;Jabbeke
249;187;nl;Oostkamp
250;188;nl;Torhout
251;189;nl;Zedelgem
252;190;nl;Zuienkerke
253;191;nl;Knokke-Heist
254;192;nl;Diksmuide
255;192;de;Diksmuide
256;192;fr;Dixmude
257;193;nl;Houthulst
258;194;nl;Koekelare
259;195;nl;Kortemark
260;196;nl;Lo-Reninge
261;197;nl;Ieper
262;197;de;Ieper
263;197;fr;Ypres
264;198;fr;Messines
265;198;nl;Mesen
266;199;nl;Poperinge
267;200;nl;Wervik
268;201;nl;Zonnebeke
269;202;nl;Heuvelland
270;203;nl;Langemark-Poelkapelle
271;204;nl;Vleteren
272;205;nl;Anzegem
273;206;nl;Avelgem
274;207;nl;Deerlijk
275;208;nl;Harelbeke
276;209;nl;Kortrijk
277;209;fr;Courtrai
278;209;de;Kortrijk
279;210;nl;Kuurne
280;211;nl;Lendelede
281;212;de;Menen
282;212;nl;Menen
283;212;fr;Menin
284;213;nl;Waregem
285;214;nl;Wevelgem
286;215;nl;Zwevegem
287;216;fr;Espierres-Helchin
288;216;nl;Spiere-Helkijn
289;217;nl;Bredene
290;218;nl;Gistel
291;219;nl;Ichtegem
292;220;nl;Middelkerke
293;221;nl;Oostende
294;221;de;Oostende
295;221;fr;Ostende
296;222;nl;Oudenburg
297;223;nl;De Haan
298;224;nl;Hooglede
299;225;nl;Ingelmunster
300;226;nl;Izegem
301;227;nl;Ledegem
302;228;nl;Lichtervelde
303;229;nl;Moorslede
304;230;de;Roeselare
305;230;fr;Roulers
306;230;nl;Roeselare
307;231;nl;Staden
308;232;nl;Dentergem
309;233;nl;Meulebeke
310;234;nl;Oostrozebeke
311;235;nl;Pittem
312;236;nl;Ruiselede
313;237;nl;Tielt
314;238;nl;Wielsbeke
315;239;nl;Wingene
316;240;nl;Ardooie
317;241;nl;Alveringem
318;242;de;De Panne
319;242;fr;La Panne
320;242;nl;De Panne
321;243;nl;Koksijde
322;244;de;Nieuwpoort
323;244;nl;Nieuwpoort
324;244;fr;Nieuport
325;245;de;Veurne
326;245;fr;Furnes
327;245;nl;Veurne
328;246;nl;Aalst
329;246;fr;Alost
330;246;de;Aalst
331;247;nl;Denderleeuw
332;248;de;Geraardsbergen
333;248;fr;Grammont
334;248;nl;Geraardsbergen
335;249;nl;Haaltert
336;250;nl;Herzele
337;251;nl;Lede
338;252;nl;Ninove
339;253;nl;Sint-Lievens-Houtem
340;254;nl;Zottegem
341;255;nl;Erpe-Mere
342;256;nl;Berlare
343;257;nl;Buggenhout
344;258;de;Dendermonde
345;258;fr;Termonde
346;258;nl;Dendermonde
347;259;nl;Hamme
348;260;nl;Laarne
349;261;nl;Lebbeke
350;262;nl;Waasmunster
351;263;nl;Wetteren
352;264;nl;Wichelen
353;265;nl;Zele
354;266;nl;Assenede
355;267;nl;Eeklo
356;268;nl;Kaprijke
357;269;nl;Maldegem
358;270;nl;Sint-Laureins
359;271;nl;Zelzate
360;272;nl;Aalter
361;273;nl;Deinze
362;274;nl;De Pinte
363;275;nl;Destelbergen
364;276;nl;Evergem
365;277;nl;Gavere
366;278;de;Gent
367;278;nl;Gent
368;278;fr;Gand
369;279;nl;Knesselare
370;280;nl;Lochristi
371;281;nl;Lovendegem
372;282;nl;Melle
373;283;nl;Merelbeke
374;284;nl;Moerbeke
375;285;nl;Nazareth
376;286;nl;Nevele
377;287;nl;Oosterzele
378;288;nl;Sint-Martens-Latem
379;289;nl;Waarschoot
380;290;nl;Wachtebeke
381;291;nl;Zomergem
382;292;nl;Zulte
383;293;nl;Kruishoutem
384;294;nl;Oudenaarde
385;294;de;Oudenaarde
386;294;fr;Audenarde
387;295;nl;Ronse
388;295;fr;Renaix
389;296;nl;Zingem
